ik_success,success,planning_time_s,n_collision_checks,collision_check_time_s,condition,gate_mode,clutter_mode,gate_sep_m,trial,gate_sep_sweep
True,True,0.0061156250012572855,22,0.005321959979482926,all_vhacd,vhacd,vhacd,0.19,12,0.19
True,True,0.06648358299571555,201,0.04808412792044692,all_vhacd,vhacd,vhacd,0.19,13,0.19
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.19,14,0.19
True,False,0.0010552910098340362,2,0.0007644590077688918,all_vhacd,vhacd,vhacd,0.19,15,0.19
True,True,0.12551991701184306,296,0.0785839188756654,all_vhacd,vhacd,vhacd,0.19,16,0.19
True,True,0.008724208004423417,32,0.007678789013880305,all_vhacd,vhacd,vhacd,0.19,17,0.19
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.19,18,0.19
True,True,0.006069582988857292,22,0.005272377005894668,all_vhacd,vhacd,vhacd,0.19,19,0.19
False,False,0.0,0,0.0,all_box,box,box,0.19,0,0.19
True,False,0.0008978330006357282,2,0.0006268339930102229,all_box,box,box,0.19,1,0.19
True,True,0.006825958000263199,22,0.00596383202355355,all_box,box,box,0.19,2,0.19
False,False,0.0,0,0.0,all_box,box,box,0.19,3,0.19
False,False,0.0,0,0.0,all_box,box,box,0.19,4,0.19
False,False,0.0,0,0.0,all_box,box,box,0.19,5,0.19
True,False,0.0008948750037234277,2,0.000647209002636373,all_box,box,box,0.19,6,0.19
True,True,0.006347957998514175,22,0.0055743730190442875,all_box,box,box,0.19,7,0.19
True,True,0.006503666998469271,22,0.00561954005388543,all_box,box,box,0.19,8,0.19
True,True,0.006202583012054674,22,0.005379705980885774,all_box,box,box,0.19,9,0.19
True,True,0.10277566600416321,312,0.07551195798441768,all_box,box,box,0.19,10,0.19
False,False,0.0,0,0.0,all_box,box,box,0.19,11,0.19
True,True,0.006665707987849601,22,0.005799625025247224,all_box,box,box,0.19,12,0.19
True,True,0.06568870799674187,196,0.047351711080409586,all_box,box,box,0.19,13,0.19
False,False,0.0,0,0.0,all_box,box,box,0.19,14,0.19
True,False,0.0009425829921383411,2,0.0006985830113990232,all_box,box,box,0.19,15,0.19
True,False,0.0009367920138174668,2,0.0006911240052431822,all_box,box,box,0.19,16,0.19
True,True,0.008971083007054403,32,0.007932790016639046,all_box,box,box,0.19,17,0.19
False,False,0.0,0,0.0,all_box,box,box,0.19,18,0.19
True,True,0.006093624993809499,22,0.005294417002005503,all_box,box,box,0.19,19,0.19
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.21,0,0.21
True,False,0.0008940410043578595,2,0.0006028740026522428,all_vhacd,vhacd,vhacd,0.21,1,0.21
True,True,0.006458707997808233,22,0.00560308201238513,all_vhacd,vhacd,vhacd,0.21,2,0.21
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.21,3,0.21
